title,year,rating_score,rating_people,runtime,star5,star4,director,screenwriter,actor_1,actor_2,actor_3,country,genre_1,genre_2,imdb_link,quote
爱在黎明破晓前,1995,8.7,184661,105,50.5%,36.1%,理查德·林克莱特,理查德·林克莱特,伊桑·霍克,朱莉·德尔佩,安德莉亚·埃克特,美国/奥地利/瑞士,剧情,爱情,http://www.imdb.com/title/tt0112471,缘分是个连绵词，最美不过一瞬。
加勒比海盗,2003,8.5,286695,143,42.0%,44.4%,戈尔·维宾斯基,泰德·艾略特,约翰尼·德普,杰弗里·拉什,奥兰多·布鲁姆,美国,动作,奇幻,http://www.imdb.com/title/tt0325980,约翰尼·德普的独角戏。
阿凡达,2009,8.6,469287,162,47.6%,36.4%,詹姆斯·卡梅隆,詹姆斯·卡梅隆,萨姆·沃辛顿,佐伊·索尔达娜,西格妮·韦弗,www.avatarmovie.com,动作,科幻,http://www.avatarmovie.com,绝对意义上的美轮美奂。
风之谷,1984,8.8,151503,117,50.6%,37.9%,宫崎骏,宫崎骏,岛本须美,京田尚子,松田洋治,日本,科幻,动画,http://www.imdb.com/title/tt0087544,动画片的圣经。
爱在日落黄昏时,2004,8.7,171570,80,51.3%,35.2%,理查德·林克莱特,理查德·林克莱特,伊桑·霍克,朱莉·德尔佩,弗农·多布切夫,美国,剧情,爱情,http://www.imdb.com/title/tt0381681,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
侧耳倾听,1995,8.8,141261,111,50.8%,37.6%,近藤喜文,宫崎骏,本名阳子,小林桂树,高山南,日本,剧情,爱情,http://www.imdb.com/title/tt0113824,少女情怀总是诗。
驯龙高手,2010,8.7,247405,98,46.4%,41.7%,迪恩·德布洛斯,威廉姆·戴维斯,杰伊·巴鲁切尔,杰拉德·巴特勒,克雷格·费格森,www.dreamworksdragons.com/,喜剧,动画,http://www.dreamworksdragons.com/,和谐的生活离不开摸头与被摸头。
海洋,2009,9.0,90116,104,59.4%,32.0%,雅克·贝汉,Christophe Cheysson,皮尔斯·布鲁斯南,雅克·贝汉,姜文,www.oceans-lefilm.com,纪录片,,http://www.oceans-lefilm.com,大海啊，不全是水。
燃情岁月,1994,8.8,134109,133,51.9%,36.1%,爱德华·兹威克,William D. Wittliff,安东尼·霍普金斯,布拉德·皮特,朱莉娅·奥蒙德,美国,剧情,爱情,http://www.imdb.com/title/tt0110322,传奇，不是每个人都可以拥有。
布达佩斯大饭店,2014,8.7,251601,100,49.3%,38.9%,韦斯·安德森,韦斯·安德森,拉尔夫·费因斯,托尼·雷沃罗利,艾德里安·布洛迪,www.grandbudapesthotel.com,剧情,喜剧,http://www.grandbudapesthotel.com,小清新的故事里注入了大历史的情怀。
断背山,2005,8.5,274371,134,43.8%,40.0%,李安,拉里·麦克穆特瑞,希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯,www.brokebackmountain.com,剧情,爱情,http://www.brokebackmountain.com,每个人心中都有一座断背山。
猫鼠游戏,2002,8.7,179292,141,44.5%,44.4%,史蒂文·斯皮尔伯格,杰夫·内桑森,莱昂纳多·迪卡普里奥,汤姆·汉克斯,克里斯托弗·沃肯,美国/加拿大,剧情,传记,http://www.imdb.com/title/tt0264464,骗子大师和执著警探的你追我跑故事。 
超脱,2011,8.7,144491,97,50.9%,37.0%,托尼·凯耶,卡尔·隆德,艾德里安·布洛迪,克里斯蒂娜·亨德里克斯,詹姆斯·肯恩,detachment-film.com,剧情,,http://detachment-film.com,穷尽一生，我们要学会的，不过是彼此拥抱。
摩登时代,1936,9.1,69823,87,63.3%,31.0%,查理·卓别林,查理·卓别林,查理·卓别林,宝莲·高黛,亨利·伯格曼,美国,剧情,喜剧,http://www.imdb.com/title/tt0027977,大时代中的人生，小人物的悲喜。
狩猎,2012,9.0,93944,115,58.1%,34.3%,托马斯·温特伯格,托马斯·温特伯格,麦斯·米科尔森,托玛斯·博·拉森,安妮卡·韦德科普,丹麦/瑞典,剧情,,http://www.imdb.com/title/tt2106476,人言可畏。
幸福终点站,2004,8.6,199638,128,43.8%,43.5%,史蒂文·斯皮尔伯格,Sacha Gervasi,汤姆·汉克斯,凯瑟琳·泽塔-琼斯,斯坦利·图齐,美国,剧情,喜剧,http://www.imdb.com/title/tt0362227,有时候幸福需要等一等。 
神偷奶爸,2010,8.5,320203,95,40.5%,45.4%,皮艾尔·柯芬,肯·道里欧,史蒂夫·卡瑞尔,杰森·席格尔,拉塞尔·布兰德,www.despicableme.com,喜剧,动画,http://www.despicableme.com,Mr. I Don't Care其实也有Care的时候。
